Type	C	Enriched Modules	Total Modules	% Enriched	Enriched for Same	Enriched for Different	One Module	No Module	Not No Percentage	Average Module Size	BPMs with Significant PPI	BPMs with Significant PPI (2 Standard Devs)	Total BPMs	2 Standard Devs	1 Standard Dev	No Significance
Mult	90	16	24	0.6666666667	2	3	6	1	0.9166666667	4.333333333	3	2	12	2	1	9
Mult	80	107	228	0.4692982456	8	17	57	32	0.7192982456	8.868421053	20	12	114	12	8	94
Mult	70	646	1362	0.4743024963	41	147	270	223	0.6725403818	9.220264317	152	101	681	101	51	529
Min	90	9	14	0.6428571429	1	3	1	2	0.7142857143	4.857142857	4	3	7	3	1	3
Min	80	29	40	0.725	3	8	7	2	0.9	7.125	9	6	20	6	3	11
Min	70	31	48	0.6458333333	6	6	7	5	0.7916666667	9.708333333	14	10	24	10	4	10
Cubed Min	90	44	80	0.55	3	12	14	11	0.725	5.1625	4	4	40	4	0	36
Cubed Min	80	109	228	0.4780701754	9	24	43	38	0.6666666667	6.065789474	15	10	114	10	5	99
Cubed Min	70	248	566	0.4381625442	22	40	124	97	0.6572438163	8.846289753	41	21	283	21	20	242
Log	90	14	28	0.5	1	2	8	3	0.7857142857	5.821428571	2	0	14	0	2	12
Log	80	76	140	0.5428571429	8	19	22	21	0.7	5.778571429	16	7	70	7	9	54
Log	70	521	1118	0.4660107335	31	123	213	192	0.656529517	7.960644007	78	42	559	42	36	481
